year_month,metric_id,value
2023-11,sp500_index,4201.27001953125
2023-11,sp500_index,4268.259765625
2023-11,sp500_index,4334.22998046875
2023-11,sp500_index,4364.27001953125
2023-11,sp500_index,4366.2099609375
2023-11,sp500_index,4384.3701171875
2023-11,sp500_index,4391.41015625
2023-11,sp500_index,4364.14990234375
2023-11,sp500_index,4406.66015625
2023-11,sp500_index,4458.97021484375
2023-11,sp500_index,4505.2998046875
2023-11,sp500_index,4497.080078125
2023-11,sp500_index,4509.5498046875
2023-11,sp500_index,4511.7001953125
2023-11,sp500_index,4538.77001953125
2023-11,sp500_index,4553.0400390625
2023-11,sp500_index,4555.83984375
2023-11,sp500_index,4554.85986328125
2023-11,sp500_index,4545.5498046875
2023-11,sp500_index,4571.83984375
2023-11,sp500_index,4554.8701171875
2023-11,total_tvl_usd,46787533706.0
2023-12,sp500_index,4559.43017578125
2023-12,sp500_index,4564.3701171875
2023-12,sp500_index,4557.25
2023-12,sp500_index,4586.22998046875
2023-12,sp500_index,4568.83984375
2023-12,sp500_index,4576.2001953125
2023-12,sp500_index,4593.39013671875
2023-12,sp500_index,4618.2998046875
2023-12,sp500_index,4646.2001953125
2023-12,sp500_index,4721.0400390625
2023-12,sp500_index,4714.22998046875
2023-12,sp500_index,4725.580078125
2023-12,sp500_index,4743.72021484375
2023-12,sp500_index,4764.72998046875
2023-12,sp500_index,4724.2900390625
2023-12,sp500_index,4753.919921875
2023-12,sp500_index,4758.85986328125
2023-12,sp500_index,4773.4501953125
2023-12,sp500_index,4786.43994140625
2023-12,sp500_index,4782.8798828125
2023-12,total_tvl_usd,54127974112.0
2024-01,sp500_index,4745.2001953125
2024-01,sp500_index,4725.06982421875
2024-01,sp500_index,4697.419921875
2024-01,sp500_index,4690.56982421875
2024-01,sp500_index,4703.7001953125
2024-01,sp500_index,4741.93017578125
2024-01,sp500_index,4759.93994140625
2024-01,sp500_index,4792.1298828125
2024-01,sp500_index,4791.18017578125
2024-01,sp500_index,4772.35009765625
2024-01,sp500_index,4739.1298828125
2024-01,sp500_index,4760.10009765625
2024-01,sp500_index,4796.27978515625
2024-01,sp500_index,4853.419921875
2024-01,sp500_index,4856.7998046875
2024-01,sp500_index,4888.56005859375
2024-01,sp500_index,4886.66015625
2024-01,sp500_index,4888.91015625
2024-01,sp500_index,4892.9501953125
2024-01,sp500_index,4925.89013671875
2024-01,sp500_index,4899.18994140625
2024-01,total_tvl_usd,56475447434.0
2024-02,sp500_index,4861.10986328125
2024-02,sp500_index,4916.06005859375
2024-02,sp500_index,4957.18994140625
2024-02,sp500_index,4950.16015625
2024-02,sp500_index,4973.0498046875
2024-02,sp500_index,4995.16015625
2024-02,sp500_index,5004.169921875
2024-02,sp500_index,5026.830078125
2024-02,sp500_index,4967.93994140625
2024-02,sp500_index,4976.43994140625
2024-02,sp500_index,5003.14013671875
2024-02,sp500_index,5031.1298828125
2024-02,sp500_index,4989.31982421875
2024-02,sp500_index,4963.02978515625
2024-02,sp500_index,5038.830078125
2024-02,sp500_index,5100.919921875
2024-02,sp500_index,5093.0
2024-02,sp500_index,5074.60009765625
2024-02,sp500_index,5067.2001953125
2024-02,sp500_index,5085.35986328125
2024-02,total_tvl_usd,81089520893.0
2024-03,sp500_index,5098.509765625
2024-03,sp500_index,5130.990234375
2024-03,sp500_index,5110.52001953125
2024-03,sp500_index,5108.02978515625
2024-03,sp500_index,5132.3798828125
2024-03,sp500_index,5164.4599609375
2024-03,sp500_index,5111.9599609375
2024-03,sp500_index,5134.2998046875
2024-03,sp500_index,5173.490234375
2024-03,sp500_index,5175.14013671875
2024-03,sp500_index,5123.31005859375
2024-03,sp500_index,5154.77001953125
2024-03,sp500_index,5139.08984375
2024-03,sp500_index,5181.68994140625
2024-03,sp500_index,5253.43017578125
2024-03,sp500_index,5242.47998046875
2024-03,sp500_index,5219.52001953125
2024-03,sp500_index,5228.85009765625
2024-03,sp500_index,5226.31005859375
2024-03,sp500_index,5248.02978515625
2024-03,total_tvl_usd,91324161819.0
2024-04,sp500_index,5257.97021484375
2024-04,sp500_index,5204.2900390625
2024-04,sp500_index,5194.3701171875
2024-04,sp500_index,5244.0498046875
2024-04,sp500_index,5158.9501953125
2024-04,sp500_index,5211.3701171875
2024-04,sp500_index,5217.02978515625
2024-04,sp500_index,5167.8798828125
2024-04,sp500_index,5172.9501953125
2024-04,sp500_index,5171.509765625
2024-04,sp500_index,5149.669921875
2024-04,sp500_index,5064.58984375
2024-04,sp500_index,5068.97021484375
2024-04,sp500_index,5031.52001953125
2024-04,sp500_index,5005.43994140625
2024-04,sp500_index,4987.330078125
2024-04,sp500_index,5028.85009765625
2024-04,sp500_index,5084.85986328125
2024-04,sp500_index,5019.8798828125
2024-04,sp500_index,5084.64990234375
2024-04,sp500_index,5114.1298828125
2024-04,sp500_index,5103.77978515625
2024-04,total_tvl_usd,87548348157.0
2024-05,sp500_index,5029.02978515625
2024-05,sp500_index,5049.31982421875
2024-05,sp500_index,5122.77978515625
2024-05,sp500_index,5142.419921875
2024-05,sp500_index,5187.2001953125
2024-05,sp500_index,5168.97998046875
2024-05,sp500_index,5189.02978515625
2024-05,sp500_index,5225.490234375
2024-05,sp500_index,5233.080078125
2024-05,sp500_index,5221.10009765625
2024-05,sp500_index,5263.259765625
2024-05,sp500_index,5310.06982421875
2024-05,sp500_index,5303.10009765625
2024-05,sp500_index,5305.35009765625
2024-05,sp500_index,5298.68994140625
2024-05,sp500_index,5319.27978515625
2024-05,sp500_index,5340.259765625
2024-05,sp500_index,5281.4501953125
2024-05,sp500_index,5315.91015625
2024-05,sp500_index,5278.72998046875
2024-05,sp500_index,5259.77001953125
2024-05,sp500_index,5243.2099609375
2024-05,total_tvl_usd,101423955111.0
2024-06,sp500_index,5297.14990234375
2024-06,sp500_index,5278.240234375
2024-06,sp500_index,5314.47998046875
2024-06,sp500_index,5357.7998046875
2024-06,sp500_index,5343.81005859375
2024-06,sp500_index,5341.22021484375
2024-06,sp500_index,5353.0
2024-06,sp500_index,5409.1298828125
2024-06,sp500_index,5441.93017578125
2024-06,sp500_index,5424.080078125
2024-06,sp500_index,5431.10986328125
2024-06,sp500_index,5476.14990234375
2024-06,sp500_index,5499.990234375
2024-06,sp500_index,5466.77001953125
2024-06,sp500_index,5459.580078125
2024-06,sp500_index,5460.72998046875
2024-06,sp500_index,5460.7099609375
2024-06,sp500_index,5473.58984375
2024-06,sp500_index,5488.47998046875
2024-06,total_tvl_usd,92160137699.0
2024-07,btc_dominance,74.97918180465815
2024-07,eth_dominance,25.02081819534184
2024-07,global_trading_volume,17373592048.120487
2024-07,sp500_index,5471.080078125
2024-07,sp500_index,5461.83984375
2024-07,sp500_index,5507.43994140625
2024-07,sp500_index,5537.91015625
2024-07,sp500_index,5572.75
2024-07,sp500_index,5584.240234375
2024-07,sp500_index,5591.259765625
2024-07,sp500_index,5635.2099609375
2024-07,sp500_index,5590.759765625
2024-07,sp500_index,5638.16015625
2024-07,sp500_index,5644.08984375
2024-07,sp500_index,5610.06982421875
2024-07,sp500_index,5608.56005859375
2024-07,sp500_index,5543.3701171875
2024-07,sp500_index,5544.5400390625
